799, 188, 13
763, 205, 32
716, 236, 48
685, 247, 68
651, 252, 97
622, 247, 131
600, 242, 158
571, 247, 182
538, 254, 208
522, 240, 238
492, 234, 274
471, 222, 307
442, 228, 330
424, 231, 345
402, 233, 365
386, 231, 383
358, 233, 409
330, 241, 429
312, 232, 456
297, 218, 485
284, 206, 510
267, 206, 527
257, 193, 550
245, 180, 575
226, 180, 594
216, 166, 618
209, 155, 636
204, 139, 657
197, 132, 671
189, 124, 687
175, 131, 694
167, 120, 713
156, 121, 723
150, 113, 737
146, 110, 744
142, 102, 756
133, 94, 773
124, 91, 785
120, 90, 790
112, 91, 797
108, 81, 811
101, 77, 822
97, 72, 831
93, 72, 835
92, 59, 849
84, 61, 855
82, 55, 863
79, 50, 871
75, 51, 874
71, 54, 875
